aum_label,aum,date,instrument_id,signed_position,abs_position,max_position_by_adv,feature_short_dsi,short_dsi,short_dsi_pct,borrow_tier,target_r_overnight_next,adv_dollar,adv_share_pct,cap_utilization,gross_pnl_contribution,high_short_interest_gt_10pct
1b,1000000000.0,2023-03-14,84,-4067008.1925,4067008.1925,4067008.1925,0.033126071249556716,0.033126071249556716,0.6175528507367073,A,-0.026388566673756997,81340163.85,5.0,1.0,107322.51685050217,False
1b,1000000000.0,2023-03-14,110,33605006.0,33605006.0,33605006.0,0.01138786058651415,0.01138786058651415,0.14157591287636132,A,-0.03378844434764394,672100120.0,5.0,1.0,-1135460.8750332408,False
1b,1000000000.0,2023-03-14,119,22058958.256025,22058958.256025,22058958.256025,0.0169353129950761,0.0169353129950761,0.29788597053171045,A,-0.026385356702988583,441179165.1205,5.0,1.0,-582033.4820815546,False
1b,1000000000.0,2023-03-14,146,5203742.023600001,5203742.023600001,5203742.023600001,0.028107978375370952,0.028107978375370952,0.5464445868033312,A,-0.018813309104476317,104074840.47200002,5.0,1.0,-97899.60718993991,False
1b,1000000000.0,2023-03-14,155,-11344423.0425,11344423.0425,11344423.0425,0.019844672696487282,0.019844672696487282,0.36963484945547725,A,-0.053069556356248326,226888460.85,5.0,1.0,602043.4979830759,False
1b,1000000000.0,2023-03-14,167,-24529285.3975,24529285.3975,24529285.3975,0.008108440433083706,0.008108440433083706,0.057014734144778985,A,-0.005264505777321071,490585707.95,5.0,1.0,129134.56468869615,False
1b,1000000000.0,2023-03-14,172,4234695.8475,4234695.8475,4234695.8475,0.01994761750780326,0.01994761750780326,0.3734785393978219,A,-0.030017501027365223,84693916.95,5.0,1.0,-127114.9869529105,False
1b,1000000000.0,2023-03-14,174,-43525696.097500004,43525696.097500004,43525696.097500004,0.006819588239322981,0.006819588239322981,0.035233824471492634,A,-0.0035109744094300455,870513921.95,5.0,1.0,152817.6051509517,False
1b,1000000000.0,2023-03-14,179,2777440.4375,2777440.4375,2777440.4375,0.011807981124801477,0.011807981124801477,0.15374759769378604,A,-0.031797099551598706,55548808.75,5.0,1.0,-88314.55008982336,False
1b,1000000000.0,2023-03-14,185,-10424900.865000002,10424900.865000002,10424900.865000002,0.021764631058903233,0.021764631058903233,0.4176809737347854,A,-0.04044073383340041,208498017.30000004,5.0,1.0,421590.6411210508,False
1b,1000000000.0,2023-03-14,190,-19795406.7525,19795406.7525,19795406.7525,0.010597451429522817,0.010597451429522817,0.11979500320307496,A,-0.0134875812502816,395908135.05,5.0,1.0,266992.1569567168,False
